rater_id,volume,sample_id,relevance_1_5,both_concepts_coverage_1_5,non_redundancy_1_5,overall_usefulness_1_5,query_number,video,query_id,method,selected_indices
R004,A,Q04-S1,2,1,5,1,4,P01,Party_Tree,CLIP-zero-shot,"[2497, 2491, 2499, 494, 2366, 2476, 2480, 2471, 1724, 2474, 1467, 116, 812, 1468, 2506, 2479, 1536, 2467, 1961, 2484, 1560, 1647, 1539, 2374, 1294, 1640, 1562, 462, 2193, 1622, 1385, 46, 320, 2477, 493, 617, 551, 797, 2469, 2039, 2482, 793, 1996, 1391, 819, 1365, 2368, 2389, 2465, 1705, 518, 638, 1853, 41, 798]"
R004,A,Q04-S2,1,1,1,1,4,P01,Party_Tree,Visual-BiLSTM,"[2782, 2781, 2780, 2779, 2778, 915, 917, 914, 918, 916, 2777, 919, 1962, 1391, 1963, 1801, 1390, 979, 920, 923, 828, 1466, 977, 1699, 1607, 827, 1647, 978, 1389, 1802, 1551, 1606, 2529, 1536, 1058, 1345, 1795, 1964, 1337, 2775, 1336, 1349, 1544, 1700, 924, 1346, 2499, 775, 569, 882, 1392, 1550, 1597, 1347, 714]"
R004,A,Q04-S3,3,2,2,2,4,P01,Party_Tree,Ours-Nested-Intent-Selector,"[25, 225, 315, 357, 385, 421, 440, 471, 475, 476, 478, 548, 551, 552, 573, 575, 579, 592, 1367, 1368, 1369, 1371, 1372, 1375, 1376, 1377, 1378, 1381, 1383, 1386, 1388, 1389, 1390, 1391, 1392, 1396, 1399, 1402, 1404, 1405, 1406, 1407, 1408, 1409, 1410, 1411, 1417, 1424, 1458, 1460, 1463, 1468, 1470, 1499, 1521]"
R004,A,Q04-S4,1,1,4,1,4,P01,Party_Tree,Uniform,"[0, 51, 103, 154, 206, 257, 309, 360, 412, 463, 515, 566, 618, 669, 721, 772, 824, 875, 927, 978, 1030, 1081, 1133, 1184, 1236, 1287, 1339, 1391, 1442, 1494, 1545, 1597, 1648, 1700, 1751, 1803, 1854, 1906, 1957, 2009, 2060, 2112, 2163, 2215, 2266, 2318, 2369, 2421, 2472, 2524, 2575, 2627, 2678, 2730, 2782]"
R004,A,Q05-S1,3,1,1,1,5,P01,Window_Petsanimal,Ours-Nested-Intent-Selector,"[468, 1364, 1371, 1372, 1373, 1382, 1383, 1387, 1396, 1406, 1410, 1411, 1416, 1417, 1421, 1422, 1423, 1424, 1425, 1428, 1432, 1433, 1434, 1435, 1436, 1437, 1438, 1439, 1440, 1441, 1442, 1443, 1444, 1445, 1446, 1449, 1450, 1452, 1453, 1454, 1456, 1458, 1459, 1460, 1465, 1468, 1477, 1478, 1483, 1484, 1490, 1499, 1948, 2120, 2205]"
R004,A,Q05-S2,1,1,3,1,5,P01,Window_Petsanimal,Uniform,"[0, 51, 103, 154, 206, 257, 309, 360, 412, 463, 515, 566, 618, 669, 721, 772, 824, 875, 927, 978, 1030, 1081, 1133, 1184, 1236, 1287, 1339, 1391, 1442, 1494, 1545, 1597, 1648, 1700, 1751, 1803, 1854, 1906, 1957, 2009, 2060, 2112, 2163, 2215, 2266, 2318, 2369, 2421, 2472, 2524, 2575, 2627, 2678, 2730, 2782]"
R004,A,Q05-S3,2,1,3,1,5,P01,Window_Petsanimal,Visual-BiLSTM,"[2782, 2781, 2780, 2779, 2778, 915, 917, 914, 918, 916, 2777, 919, 1962, 1391, 1963, 1801, 1390, 979, 920, 923, 828, 1466, 977, 1699, 1607, 827, 1647, 978, 1389, 1802, 1551, 1606, 2529, 1536, 1058, 1345, 1795, 1964, 1337, 2775, 1336, 1349, 1544, 1700, 924, 1346, 2499, 775, 569, 882, 1392, 1550, 1597, 1347, 714]"
R004,A,Q05-S4,2,1,2,1,5,P01,Window_Petsanimal,CLIP-zero-shot,"[2205, 2399, 2491, 2348, 2480, 2020, 2506, 2395, 1468, 170, 1704, 2039, 1996, 2769, 2374, 2497, 2398, 2600, 1924, 1961, 1948, 1922, 2621, 2775, 494, 1456, 2479, 1449, 61, 589, 2058, 1399, 2059, 678, 2235, 812, 1925, 1467, 2734, 2332, 1340, 1536, 629, 1814, 2768, 711, 551, 2305, 2334, 1923, 1647, 650, 628, 2366, 603]"
R004,A,Q06-S1,1,1,3,1,6,P02,Blonde_Book,Uniform,"[0, 51, 102, 153, 205, 256, 307, 358, 410, 461, 512, 563, 615, 666, 717, 768, 820, 871, 922, 974, 1025, 1076, 1127, 1179, 1230, 1281, 1332, 1384, 1435, 1486, 1537, 1589, 1640, 1691, 1742, 1794, 1845, 1896, 1948, 1999, 2050, 2101, 2153, 2204, 2255, 2306, 2358, 2409, 2460, 2511, 2563, 2614, 2665, 2716, 2768, 2819, 2870, 2922, 2973, 3024, 3075, 3127, 3178, 3229, 3280, 3332, 3383, 3434, 3485, 3537, 3588, 3639, 3691]"
R004,A,Q06-S2,1,1,1,1,6,P02,Blonde_Book,Visual-BiLSTM,"[3691, 3690, 3689, 3688, 2933, 2821, 3687, 2147, 2932, 2901, 2170, 3018, 2934, 2942, 2961, 2127, 2878, 3048, 3065, 2831, 2146, 3056, 2898, 2931, 1634, 2939, 2935, 3686, 2940, 2900, 3019, 2962, 2820, 2833, 3036, 2899, 2957, 2904, 2822, 2958, 2834, 3023, 2938, 3037, 3059, 3058, 2978, 2145, 1633, 2977, 2902, 2892, 3064, 2964, 2960, 2906, 2959, 2930, 2963, 3047, 3060, 2832, 2144, 2812, 3057, 2819, 2825, 3054, 2897, 2909, 2943, 2877, 2956]"
R004,A,Q06-S3,4,2,2,3,6,P02,Blonde_Book,Ours-Nested-Intent-Selector,"[218, 1522, 1573, 1574, 2155, 2156, 2179, 2254, 2265, 2360, 2388, 2398, 2399, 2426, 2428, 2434, 2438, 2461, 2468, 2525, 2568, 2571, 2588, 2591, 2593, 2600, 2613, 2616, 2621, 2684, 2710, 2915, 2921, 2987, 2988, 2989, 2990, 2991, 2992, 2993, 2994, 2995, 2996, 2997, 2999, 3001, 3002, 3003, 3005, 3006, 3011, 3012, 3013, 3046, 3068, 3071, 3072, 3073, 3075, 3077, 3082, 3083, 3084, 3086, 3091, 3096, 3097, 3098, 3099, 3258, 3287, 3290, 3293]"
R004,A,Q06-S4,1,1,1,1,6,P02,Blonde_Book,CLIP-zero-shot,"[1612, 1613, 1520, 2860, 1519, 2857, 2843, 2862, 2865, 1616, 2875, 2871, 1477, 2289, 1617, 2847, 1611, 1533, 2872, 2396, 2873, 2626, 2963, 2863, 1521, 2864, 2849, 2886, 1605, 2954, 892, 2372, 2822, 2961, 2832, 471, 2868, 1615, 2844, 2956, 1513, 1518, 2848, 1614, 2660, 3319, 3070, 1466, 1522, 2777, 2831, 2600, 2401, 2922, 2247, 2320, 1425, 2856, 2869, 2950, 1405, 3206, 2683, 2423, 2973, 2671, 2835, 1446, 1428, 3035, 2379, 2714, 2858]"
R004,A,Q07-S1,2,4,1,2,7,P02,Cupglass_Room,CLIP-zero-shot,"[1612, 1616, 1617, 1613, 1520, 1611, 2954, 1502, 1466, 1477, 1605, 2822, 1533, 2963, 1518, 2847, 1586, 1587, 1513, 1519, 2320, 2865, 2832, 1551, 2626, 2871, 1428, 892, 3035, 3319, 1425, 2857, 2831, 2950, 1535, 1619, 2973, 2289, 471, 2860, 2964, 2927, 1449, 2956, 485, 1562, 2864, 2863, 2843, 2961, 2872, 1639, 2947, 2372, 2820, 1521, 2955, 2401, 1615, 2868, 2844, 2926, 2975, 1504, 2714, 1573, 2848, 2862, 2867, 1522, 1546, 2957, 2849]"
R004,A,Q07-S2,2,1,3,1,7,P02,Cupglass_Room,Uniform,"[0, 51, 102, 153, 205, 256, 307, 358, 410, 461, 512, 563, 615, 666, 717, 768, 820, 871, 922, 974, 1025, 1076, 1127, 1179, 1230, 1281, 1332, 1384, 1435, 1486, 1537, 1589, 1640, 1691, 1742, 1794, 1845, 1896, 1948, 1999, 2050, 2101, 2153, 2204, 2255, 2306, 2358, 2409, 2460, 2511, 2563, 2614, 2665, 2716, 2768, 2819, 2870, 2922, 2973, 3024, 3075, 3127, 3178, 3229, 3280, 3332, 3383, 3434, 3485, 3537, 3588, 3639, 3691]"
R004,A,Q07-S3,3,3,1,3,7,P02,Cupglass_Room,Ours-Nested-Intent-Selector,"[1502, 1532, 1546, 1568, 1573, 1586, 1588, 1610, 1631, 1633, 2181, 2226, 3320, 3338, 3342, 3349, 3353, 3370, 3373, 3381, 3384, 3387, 3389, 3392, 3395, 3404, 3411, 3414, 3419, 3423, 3435, 3438, 3441, 3442, 3448, 3454, 3455, 3457, 3458, 3459, 3460, 3461, 3463, 3466, 3467, 3468, 3479, 3490, 3495, 3500, 3504, 3515, 3518, 3525, 3526, 3527, 3536, 3537, 3542, 3543, 3574, 3602, 3603, 3604, 3608, 3609, 3611, 3638, 3646, 3648, 3660, 3667, 3672]"
R004,A,Q07-S4,3,1,1,2,7,P02,Cupglass_Room,Visual-BiLSTM,"[3691, 3690, 3689, 3688, 2933, 2821, 3687, 2147, 2932, 2901, 2170, 3018, 2934, 2942, 2961, 2127, 2878, 3048, 3065, 2831, 2146, 3056, 2898, 2931, 1634, 2939, 2935, 3686, 2940, 2900, 3019, 2962, 2820, 2833, 3036, 2899, 2957, 2904, 2822, 2958, 2834, 3023, 2938, 3037, 3059, 3058, 2978, 2145, 1633, 2977, 2902, 2892, 3064, 2964, 2960, 2906, 2959, 2930, 2963, 3047, 3060, 2832, 2144, 2812, 3057, 2819, 2825, 3054, 2897, 2909, 2943, 2877, 2956]"
R004,A,Q08-S1,1,1,1,1,8,P02,Garden_Phone,CLIP-zero-shot,"[1617, 1613, 1612, 2857, 1616, 1615, 1519, 2865, 1533, 1520, 2871, 2860, 2847, 2872, 2822, 1518, 2954, 2863, 2963, 3035, 2961, 1405, 1522, 1611, 2875, 2626, 1513, 2973, 2832, 1420, 2862, 2864, 471, 1944, 2856, 2831, 2849, 2843, 2956, 1605, 2950, 2848, 2927, 2957, 1466, 2868, 2844, 1425, 2401, 2955, 3026, 2855, 2886, 2877, 2940, 2854, 3319, 2858, 2947, 1521, 2835, 2396, 2850, 2975, 1675, 2853, 2851, 1428, 892, 2964, 1477, 1456, 2866]"
R004,A,Q08-S2,1,1,1,1,8,P02,Garden_Phone,Visual-BiLSTM,"[3691, 3690, 3689, 3688, 2933, 2821, 3687, 2147, 2932, 2901, 2170, 3018, 2934, 2942, 2961, 2127, 2878, 3048, 3065, 2831, 2146, 3056, 2898, 2931, 1634, 2939, 2935, 3686, 2940, 2900, 3019, 2962, 2820, 2833, 3036, 2899, 2957, 2904, 2822, 2958, 2834, 3023, 2938, 3037, 3059, 3058, 2978, 2145, 1633, 2977, 2902, 2892, 3064, 2964, 2960, 2906, 2959, 2930, 2963, 3047, 3060, 2832, 2144, 2812, 3057, 2819, 2825, 3054, 2897, 2909, 2943, 2877, 2956]"
R004,A,Q08-S3,4,2,2,1,8,P02,Garden_Phone,Ours-Nested-Intent-Selector,"[38, 62, 91, 219, 224, 264, 319, 323, 329, 331, 402, 1409, 1420, 1457, 1613, 1615, 1617, 1674, 1675, 1690, 1694, 1705, 1708, 1709, 1710, 1713, 1714, 1715, 1716, 1717, 1718, 1719, 1721, 1723, 1724, 1725, 1726, 1730, 1731, 1733, 1736, 1741, 1742, 1743, 1751, 1753, 1772, 1773, 1790, 1795, 1796, 1800, 1801, 1803, 1814, 1817, 1851, 1853, 1859, 1864, 1865, 1872, 1885, 1891, 1920, 1932, 1935, 1943, 1952, 1953, 2537, 2608, 2810]"
R004,A,Q08-S4,2,1,2,1,8,P02,Garden_Phone,Uniform,"[0, 51, 102, 153, 205, 256, 307, 358, 410, 461, 512, 563, 615, 666, 717, 768, 820, 871, 922, 974, 1025, 1076, 1127, 1179, 1230, 1281, 1332, 1384, 1435, 1486, 1537, 1589, 1640, 1691, 1742, 1794, 1845, 1896, 1948, 1999, 2050, 2101, 2153, 2204, 2255, 2306, 2358, 2409, 2460, 2511, 2563, 2614, 2665, 2716, 2768, 2819, 2870, 2922, 2973, 3024, 3075, 3127, 3178, 3229, 3280, 3332, 3383, 3434, 3485, 3537, 3588, 3639, 3691]"
R004,A,Q09-S1,2,1,1,1,9,P02,Office_Shoes,Visual-BiLSTM,"[3691, 3690, 3689, 3688, 2933, 2821, 3687, 2147, 2932, 2901, 2170, 3018, 2934, 2942, 2961, 2127, 2878, 3048, 3065, 2831, 2146, 3056, 2898, 2931, 1634, 2939, 2935, 3686, 2940, 2900, 3019, 2962, 2820, 2833, 3036, 2899, 2957, 2904, 2822, 2958, 2834, 3023, 2938, 3037, 3059, 3058, 2978, 2145, 1633, 2977, 2902, 2892, 3064, 2964, 2960, 2906, 2959, 2930, 2963, 3047, 3060, 2832, 2144, 2812, 3057, 2819, 2825, 3054, 2897, 2909, 2943, 2877, 2956]"
R004,A,Q09-S2,2,1,1,3,9,P02,Office_Shoes,CLIP-zero-shot,"[2847, 1612, 2872, 1425, 2871, 2865, 2860, 1616, 2857, 2855, 2863, 1520, 2289, 1519, 2875, 2864, 2849, 1518, 2822, 2832, 1446, 2843, 2955, 1428, 2873, 2320, 2963, 1513, 1613, 2927, 1617, 2954, 2961, 1611, 2848, 2862, 1522, 2844, 485, 2886, 1605, 1614, 2835, 1502, 2853, 1514, 2831, 2956, 2973, 1521, 3319, 2868, 2851, 217, 1533, 1466, 3035, 1587, 2867, 892, 2836, 1405, 2275, 2877, 2531, 2957, 2626, 2950, 2195, 2964, 1615, 1477, 2856]"
R004,A,Q09-S3,2,1,3,2,9,P02,Office_Shoes,Ours-Nested-Intent-Selector,"[122, 442, 474, 479, 481, 482, 510, 546, 832, 869, 921, 1054, 1062, 1072, 1093, 1116, 1183, 1185, 1189, 1209, 1257, 1393, 1394, 1425, 1426, 1427, 1428, 1429, 1430, 1438, 1444, 1446, 1502, 1514, 1515, 1522, 1533, 1564, 1607, 1611, 1615, 1617, 1633, 1638, 1639, 2130, 2132, 2232, 2347, 2358, 2361, 2511, 2516, 2531, 2836, 2855, 2860, 2914, 2924, 2955, 3015, 3053, 3314, 3322, 3324, 3338, 3347, 3355, 3357, 3365, 3369, 3557, 3618]"
R004,A,Q09-S4,1,1,3,1,9,P02,Office_Shoes,Uniform,"[0, 51, 102, 153, 205, 256, 307, 358, 410, 461, 512, 563, 615, 666, 717, 768, 820, 871, 922, 974, 1025, 1076, 1127, 1179, 1230, 1281, 1332, 1384, 1435, 1486, 1537, 1589, 1640, 1691, 1742, 1794, 1845, 1896, 1948, 1999, 2050, 2101, 2153, 2204, 2255, 2306, 2358, 2409, 2460, 2511, 2563, 2614, 2665, 2716, 2768, 2819, 2870, 2922, 2973, 3024, 3075, 3127, 3178, 3229, 3280, 3332, 3383, 3434, 3485, 3537, 3588, 3639, 3691]"
R004,A,Q10-S1,2,1,3,1,10,P02,Toy_Lake,Ours-Nested-Intent-Selector,"[65, 66, 68, 74, 75, 76, 77, 78, 88, 95, 97, 98, 99, 103, 104, 111, 113, 119, 121, 122, 123, 124, 126, 135, 136, 142, 144, 145, 146, 156, 157, 159, 160, 161, 162, 163, 165, 166, 169, 170, 177, 178, 180, 185, 187, 188, 189, 193, 196, 202, 204, 205, 207, 208, 209, 210, 212, 213, 214, 215, 218, 337, 479, 481, 1430, 1440, 1906, 1907, 1913, 1966, 1999, 2243, 2470]"
R004,A,Q10-S2,2,1,4,2,10,P02,Toy_Lake,Uniform,"[0, 51, 102, 153, 205, 256, 307, 358, 410, 461, 512, 563, 615, 666, 717, 768, 820, 871, 922, 974, 1025, 1076, 1127, 1179, 1230, 1281, 1332, 1384, 1435, 1486, 1537, 1589, 1640, 1691, 1742, 1794, 1845, 1896, 1948, 1999, 2050, 2101, 2153, 2204, 2255, 2306, 2358, 2409, 2460, 2511, 2563, 2614, 2665, 2716, 2768, 2819, 2870, 2922, 2973, 3024, 3075, 3127, 3178, 3229, 3280, 3332, 3383, 3434, 3485, 3537, 3588, 3639, 3691]"
R004,A,Q10-S3,1,1,1,1,10,P02,Toy_Lake,Visual-BiLSTM,"[3691, 3690, 3689, 3688, 2933, 2821, 3687, 2147, 2932, 2901, 2170, 3018, 2934, 2942, 2961, 2127, 2878, 3048, 3065, 2831, 2146, 3056, 2898, 2931, 1634, 2939, 2935, 3686, 2940, 2900, 3019, 2962, 2820, 2833, 3036, 2899, 2957, 2904, 2822, 2958, 2834, 3023, 2938, 3037, 3059, 3058, 2978, 2145, 1633, 2977, 2902, 2892, 3064, 2964, 2960, 2906, 2959, 2930, 2963, 3047, 3060, 2832, 2144, 2812, 3057, 2819, 2825, 3054, 2897, 2909, 2943, 2877, 2956]"
R004,A,Q10-S4,2,1,2,1,10,P02,Toy_Lake,CLIP-zero-shot,"[1612, 2865, 2857, 1616, 2320, 1605, 1617, 1611, 1613, 1522, 1518, 1519, 2237, 2271, 2822, 1521, 2871, 1615, 2847, 2872, 2873, 2868, 2626, 2495, 3035, 2396, 2289, 2600, 1533, 2832, 2380, 2963, 2863, 2954, 2855, 2866, 2401, 2864, 2379, 1520, 2856, 1513, 1405, 2275, 2858, 2529, 2462, 2961, 2886, 2831, 2947, 2580, 1477, 2950, 2307, 2386, 471, 2350, 2848, 2956, 2940, 1425, 2372, 2860, 2347, 1528, 892, 2927, 2714, 2277, 3206, 2843, 1428]"
R003,A,Q01-S1,5,4,3,5,1,P01,Book_Street,Ours-Nested-Intent-Selector,"[471, 475, 481, 552, 556, 557, 558, 559, 563, 564, 571, 573, 575, 879, 1059, 1061, 1062, 1066, 1371, 1376, 1377, 1378, 1383, 1385, 1387, 1388, 1389, 1390, 1391, 1392, 1396, 1399, 1402, 1404, 1405, 1406, 1407, 1409, 1410, 1411, 1413, 1417, 1421, 1424, 1437, 1459, 1462, 1463, 1464, 1467, 1468, 1469, 1470, 1479, 1488]"
R003,A,Q01-S2,2,1,1,1,1,P01,Book_Street,Uniform,"[0, 51, 103, 154, 206, 257, 309, 360, 412, 463, 515, 566, 618, 669, 721, 772, 824, 875, 927, 978, 1030, 1081, 1133, 1184, 1236, 1287, 1339, 1391, 1442, 1494, 1545, 1597, 1648, 1700, 1751, 1803, 1854, 1906, 1957, 2009, 2060, 2112, 2163, 2215, 2266, 2318, 2369, 2421, 2472, 2524, 2575, 2627, 2678, 2730, 2782]"
R003,A,Q01-S3,2,1,1,1,1,P01,Book_Street,CLIP-zero-shot,"[1876, 494, 2491, 2499, 116, 548, 1399, 2497, 819, 2480, 829, 1536, 2039, 675, 1468, 1365, 551, 1647, 107, 1704, 1922, 568, 2394, 1524, 1382, 812, 638, 2506, 1961, 1853, 1640, 822, 1467, 1850, 1622, 830, 1449, 1560, 1846, 825, 1841, 1791, 1389, 2399, 1570, 1790, 1700, 1855, 2479, 2058, 2471, 773, 1867, 1705, 552]"
R003,A,Q01-S4,2,1,1,2,1,P01,Book_Street,Visual-BiLSTM,"[2782, 2781, 2780, 2779, 2778, 915, 917, 914, 918, 916, 2777, 919, 1962, 1391, 1963, 1801, 1390, 979, 920, 923, 828, 1466, 977, 1699, 1607, 827, 1647, 978, 1389, 1802, 1551, 1606, 2529, 1536, 1058, 1345, 1795, 1964, 1337, 2775, 1336, 1349, 1544, 1700, 924, 1346, 2499, 775, 569, 882, 1392, 1550, 1597, 1347, 714]"
R003,A,Q02-S1,3,2,2,3,2,P01,Desk_Office,CLIP-zero-shot,"[675, 638, 1922, 650, 463, 653, 812, 657, 629, 628, 738, 651, 1973, 656, 1925, 2491, 649, 1961, 742, 320, 654, 2334, 2389, 744, 774, 802, 648, 646, 1924, 2614, 462, 1622, 618, 678, 1318, 797, 28, 494, 2752, 1624, 634, 2020, 743, 1882, 671, 647, 939, 2499, 1981, 1536, 116, 631, 645, 682, 809]"
R003,A,Q02-S2,3,1,2,2,2,P01,Desk_Office,Uniform,"[0, 51, 103, 154, 206, 257, 309, 360, 412, 463, 515, 566, 618, 669, 721, 772, 824, 875, 927, 978, 1030, 1081, 1133, 1184, 1236, 1287, 1339, 1391, 1442, 1494, 1545, 1597, 1648, 1700, 1751, 1803, 1854, 1906, 1957, 2009, 2060, 2112, 2163, 2215, 2266, 2318, 2369, 2421, 2472, 2524, 2575, 2627, 2678, 2730, 2782]"
R003,A,Q02-S3,2,1,2,2,2,P01,Desk_Office,Visual-BiLSTM,"[2782, 2781, 2780, 2779, 2778, 915, 917, 914, 918, 916, 2777, 919, 1962, 1391, 1963, 1801, 1390, 979, 920, 923, 828, 1466, 977, 1699, 1607, 827, 1647, 978, 1389, 1802, 1551, 1606, 2529, 1536, 1058, 1345, 1795, 1964, 1337, 2775, 1336, 1349, 1544, 1700, 924, 1346, 2499, 775, 569, 882, 1392, 1550, 1597, 1347, 714]"
R003,A,Q02-S4,3,2,2,2,2,P01,Desk_Office,Ours-Nested-Intent-Selector,"[621, 634, 635, 636, 638, 639, 646, 648, 655, 663, 664, 665, 667, 668, 671, 672, 673, 675, 677, 834, 869, 889, 917, 918, 919, 924, 932, 962, 963, 1006, 1024, 1025, 1027, 1033, 1036, 1039, 1042, 1050, 1051, 1059, 1134, 1156, 1157, 1159, 1162, 1168, 1170, 1171, 1173, 1174, 1188, 1189, 1190, 1309, 1537]"
R003,A,Q03-S1,1,1,1,1,3,P01,Grass_Kids,Visual-BiLSTM,"[2782, 2781, 2780, 2779, 2778, 915, 917, 914, 918, 916, 2777, 919, 1962, 1391, 1963, 1801, 1390, 979, 920, 923, 828, 1466, 977, 1699, 1607, 827, 1647, 978, 1389, 1802, 1551, 1606, 2529, 1536, 1058, 1345, 1795, 1964, 1337, 2775, 1336, 1349, 1544, 1700, 924, 1346, 2499, 775, 569, 882, 1392, 1550, 1597, 1347, 714]"
